symbol	kind	surface	version	provenance	c_type
_json_c_strerror	function	shared	JSONC_PRIVATE	manual:original/strerror_override.h	char *(int)
array_list_add	function	shared	JSONC_PRIVATE	header:arraylist.h	int (struct array_list *, void *)
array_list_bsearch	function	shared	JSONC_0.14	header:arraylist.h	void *(const void **, struct array_list *, int (*)(const void *, const void *))
array_list_del_idx	function	shared	JSONC_PRIVATE	header:arraylist.h	int (struct array_list *, size_t, size_t)
array_list_free	function	shared	JSONC_PRIVATE	header:arraylist.h	void (struct array_list *)
array_list_get_idx	function	shared	JSONC_0.14	header:arraylist.h	void *(struct array_list *, size_t)
array_list_insert_idx	function	static-only	-	header:arraylist.h	int (struct array_list *, size_t, void *)
array_list_length	function	shared	JSONC_0.14	header:arraylist.h	size_t (struct array_list *)
array_list_new	function	shared	JSONC_PRIVATE	header:arraylist.h	struct array_list *(array_list_free_fn *)
array_list_new2	function	shared	JSONC_0.15	header:arraylist.h	struct array_list *(array_list_free_fn *, int)
array_list_put_idx	function	shared	JSONC_PRIVATE	header:arraylist.h	int (struct array_list *, size_t, void *)
array_list_shrink	function	shared	JSONC_0.15	header:arraylist.h	int (struct array_list *, size_t)
array_list_sort	function	shared	JSONC_PRIVATE	header:arraylist.h	void (struct array_list *, int (*)(const void *, const void *))
json_c_get_random_seed	function	shared	JSONC_0.14	manual:original/random_seed.h	int (void)
json_c_object_sizeof	function	shared	JSONC_0.14	header:json_object.h	size_t (void)
json_c_set_serialization_double_format	function	shared	JSONC_0.14	header:json_object.h	int (const char *, int)
json_c_shallow_copy_default	function	shared	JSONC_0.14	header:json_object.h	int (json_object *, json_object *, const char *, size_t, json_object **)
json_c_version	function	shared	JSONC_0.14	header:json_c_version.h	const char *(void)
json_c_version_num	function	shared	JSONC_0.14	header:json_c_version.h	int (void)
json_c_visit	function	shared	JSONC_0.14	header:json_visit.h	int (json_object *, int, json_c_visit_userfunc *, void *)
json_global_set_string_hash	function	shared	JSONC_0.14	header:linkhash.h	int (const int)
json_object_array_add	function	shared	JSONC_0.14	header:json_object.h	int (struct json_object *, struct json_object *)
json_object_array_bsearch	function	shared	JSONC_0.14	header:json_object.h	struct json_object *(const struct json_object *, const struct json_object *, int (*)(const void *, const void *))
json_object_array_del_idx	function	shared	JSONC_0.14	header:json_object.h	int (struct json_object *, size_t, size_t)
json_object_array_get_idx	function	shared	JSONC_0.14	header:json_object.h	struct json_object *(const struct json_object *, size_t)
json_object_array_insert_idx	function	shared	JSONC_0.17	header:json_object.h	int (struct json_object *, size_t, struct json_object *)
json_object_array_length	function	shared	JSONC_0.14	header:json_object.h	size_t (const struct json_object *)
json_object_array_put_idx	function	shared	JSONC_0.14	header:json_object.h	int (struct json_object *, size_t, struct json_object *)
json_object_array_shrink	function	shared	JSONC_0.15	header:json_object.h	int (struct json_object *, int)
json_object_array_sort	function	shared	JSONC_0.14	header:json_object.h	void (struct json_object *, int (*)(const void *, const void *))
json_object_deep_copy	function	shared	JSONC_0.14	header:json_object.h	int (struct json_object *, struct json_object **, json_c_shallow_copy_fn *)
json_object_double_to_json_string	function	shared	JSONC_0.14	header:json_object.h	int (struct json_object *, struct printbuf *, int, int)
json_object_equal	function	shared	JSONC_0.14	header:json_object.h	int (struct json_object *, struct json_object *)
json_object_free_userdata	function	shared	JSONC_0.14	header:json_object.h	void (struct json_object *, void *)
json_object_from_fd	function	shared	JSONC_0.14	header:json_util.h	struct json_object *(int)
json_object_from_fd_ex	function	shared	JSONC_0.14	header:json_util.h	struct json_object *(int, int)
json_object_from_file	function	shared	JSONC_0.14	header:json_util.h	struct json_object *(const char *)
json_object_get	function	shared	JSONC_0.14	header:json_object.h	struct json_object *(struct json_object *)
json_object_get_array	function	shared	JSONC_0.14	header:arraylist.h	struct array_list *(const struct json_object *)
json_object_get_boolean	function	shared	JSONC_0.14	header:json_object.h	json_bool (const struct json_object *)
json_object_get_double	function	shared	JSONC_0.14	header:json_object.h	double (const struct json_object *)
json_object_get_int	function	shared	JSONC_0.14	header:json_object.h	int32_t (const struct json_object *)
json_object_get_int64	function	shared	JSONC_0.14	header:json_object.h	int64_t (const struct json_object *)
json_object_get_object	function	shared	JSONC_0.14	header:json_object.h	struct lh_table *(const struct json_object *)
json_object_get_string	function	shared	JSONC_0.14	header:json_object.h	const char *(struct json_object *)
json_object_get_string_len	function	shared	JSONC_0.14	header:json_object.h	int (const struct json_object *)
json_object_get_type	function	shared	JSONC_0.14	header:json_object.h	enum json_type (const struct json_object *)
json_object_get_uint64	function	shared	JSONC_0.14	header:json_object.h	uint64_t (const struct json_object *)
json_object_get_userdata	function	shared	JSONC_0.14	header:json_object.h	void *(json_object *)
json_object_int_inc	function	shared	JSONC_0.14	header:json_object.h	int (struct json_object *, int64_t)
json_object_is_type	function	shared	JSONC_0.14	header:json_object.h	int (const struct json_object *, enum json_type)
json_object_iter_begin	function	shared	JSONC_0.14	header:json_object_iterator.h	struct json_object_iterator (struct json_object *)
